instance,n,variant,solver,runs,feasible_runs,reference_dv_kms,reference_kind,dv_best_kms,dv_mean_kms,dv_std_kms,gap_best_pct,gap_mean_pct,gap_std_pct,gap_worst_pct,runtime_mean_s,runtime_std_s,runtime_note,feasibility_rate_mean,reason
n10_static,10,static,sa-qubo,5,5,1.3267733746221748,exact,1.3598446152600916,1.4811730025643404,0.08253522537317161,2.492606595104041,11.637226891603406,6.220747789476493,17.960759881979104,0.46954761660890654,0.0023671739902797885,wall clock,1.0,
n10_td30d,10,td,brute,1,0,1.5165201039689056,exact,,,,,,,,7.919734343886375e-07,0.0,wall clock,,N=10 exceeds brute-force limit 8
n10_td30d,10,td,cpsat,5,5,1.5165201039689056,exact,1.5165201039689056,1.5165201039689056,0.0,0.0,0.0,0.0,0.0,0.16423169139306992,0.00686826970435101,configured time limit unless proven_optimal,1.0,
n10_td30d,10,td,exact,1,1,1.5165201039689056,exact,1.5165201039689056,1.5165201039689056,0.0,0.0,0.0,0.0,0.0,0.00548420799896121,0.0,wall clock,,
n10_td30d,10,td,greedy,1,1,1.5165201039689056,exact,1.5165201039689056,1.5165201039689056,0.0,0.0,0.0,0.0,0.0,0.00010708300396800041,0.0,wall clock,,
n10_td30d,10,td,local-search,5,5,1.5165201039689056,exact,1.5165201039689056,1.5165201039689056,0.0,0.0,0.0,0.0,0.0,0.07328598318854347,0.0018926611730439268,wall clock,,
n10_td30d,10,td,ortools,5,0,1.5165201039689056,exact,,,,,,,,5.332054570317268e-07,1.7771479167088923e-07,"configured time limit, not a measurement",,"instance has time-slotted costs C[t,i,j]; a routing arc-cost callback sees only (from, to) and cannot express position-dependent legs"
n10_td30d,10,td,qaoa,5,0,1.5165201039689056,exact,,,,,,,,4.79979207739234e-06,1.408209503627562e-06,classical statevector simulation time,,"N=10 needs 100 qubits, over the qaoa limit of 4 (=16 qubits, 1 MiB statevector)"
n10_td30d,10,td,sa-perm,5,5,1.5165201039689056,exact,1.5165201039689056,1.5165201039689056,0.0,0.0,0.0,0.0,0.0,10.44913315839367,0.09913839674983746,wall clock,1.0,
n10_td30d,10,td,sa-qubo,5,5,1.5165201039689056,exact,1.5587452776029718,1.7387127779435687,0.10543109070743024,2.78434644707697,14.651482258175125,6.952172307607732,22.01483435747894,0.4595482163946144,0.0031143940332850513,wall clock,1.0,
n15_static,15,static,brute,1,0,2.015119511600319,exact,,,,,,,,9.170034900307655e-07,0.0,wall clock,,N=15 exceeds brute-force limit 8
n15_static,15,static,cpsat,5,5,2.015119511600319,exact,2.015119511600319,2.015119511600319,0.0,0.0,0.0,0.0,0.0,6.3965995498001575,0.5057476173549245,configured time limit unless proven_optimal,1.0,
n15_static,15,static,exact,1,1,2.015119511600319,exact,2.015119511600319,2.015119511600319,0.0,0.0,0.0,0.0,0.0,0.2099498340394348,0.0,wall clock,,
n15_static,15,static,greedy,1,1,2.015119511600319,exact,2.0151195116003193,2.0151195116003193,0.0,2.2037859655151996e-14,2.2037859655151996e-14,0.0,2.2037859655151996e-14,0.00026216701371595263,0.0,wall clock,,
n15_static,15,static,local-search,5,5,2.015119511600319,exact,2.015119511600319,2.015119511600319,0.0,0.0,0.0,0.0,0.0,0.28785807482199743,0.008175389168662998,wall clock,,
n15_static,15,static,ortools,5,5,2.015119511600319,exact,2.015119511600319,2.015119511600319,0.0,0.0,0.0,0.0,0.0,5.0005606668069955,3.209559396883511e-05,"configured time limit, not a measurement",1.0,
n15_static,15,static,qaoa,5,0,2.015119511600319,exact,,,,,,,,3.0168099328875543e-06,2.002474481322446e-06,classical statevector simulation time,,"N=15 needs 225 qubits, over the qaoa limit of 4 (=16 qubits, 1 MiB statevector)"
n15_static,15,static,sa-perm,5,5,2.015119511600319,exact,2.0151195116003193,2.0195102516430463,0.005440573060841531,2.2037859655151996e-14,0.2178898083935641,0.2699876126215892,0.7506209611817755,23.55578291680431,0.21409875252899796,wall clock,1.0,
n15_static,15,static,sa-qubo,5,5,2.015119511600319,exact,2.80239531412679,3.2961996213995435,0.2536640947972633,39.068442243470294,63.57340606472751,12.588042214717797,75.03018798048173,1.1663259083870798,0.00990514250980081,wall clock,1.0,
n15_td30d,15,td,brute,1,0,2.185549471053853,exact,,,,,,,,7.92031642049551e-07,0.0,wall clock,,N=15 exceeds brute-force limit 8
n15_td30d,15,td,cpsat,5,5,2.185549471053853,exact,2.185549471053853,2.185549471053853,0.0,0.0,0.0,0.0,0.0,10.176861675002147,0.1843021872452187,configured time limit unless proven_optimal,1.0,
n15_td30d,15,td,exact,1,1,2.185549471053853,exact,2.185549471053853,2.185549471053853,0.0,0.0,0.0,0.0,0.0,0.22316175000742078,0.0,wall clock,,
n15_td30d,15,td,greedy,1,1,2.185549471053853,exact,2.29875477231474,2.29875477231474,0.0,5.17971808738331,5.17971808738331,0.0,5.17971808738331,0.00026712502585723996,0.0,wall clock,,
n15_td30d,15,td,local-search,5,5,2.185549471053853,exact,2.185549471053853,2.185549471053853,0.0,0.0,0.0,0.0,0.0,0.5061806833953597,0.008593731885339757,wall clock,,
n15_td30d,15,td,ortools,5,0,2.185549471053853,exact,,,,,,,,5.249981768429279e-07,1.5286775397288475e-07,"configured time limit, not a measurement",,"instance has time-slotted costs C[t,i,j]; a routing arc-cost callback sees only (from, to) and cannot express position-dependent legs"
n15_td30d,15,td,qaoa,5,0,2.185549471053853,exact,,,,,,,,3.2752053812146186e-06,1.897298064248986e-06,classical statevector simulation time,,"N=15 needs 225 qubits, over the qaoa limit of 4 (=16 qubits, 1 MiB statevector)"
n15_td30d,15,td,sa-perm,5,5,2.185549471053853,exact,2.2146089834409417,2.246064223415996,0.022837789087852885,1.3296204351336982,2.7688575876968358,1.0449449619111435,4.259838851877524,23.31551816680003,0.1637894709794762,wall clock,1.0,
n15_td30d,15,td,sa-qubo,5,5,2.185549471053853,exact,2.9281011037552283,3.217151336940502,0.22455486726670418,33.975512452862624,47.2010302008501,10.274526851978587,64.41148596260811,1.1370056085987017,0.004811235911628148,wall clock,1.0,
n20_static,20,static,brute,1,0,2.4485448717076927,best-known,,,,,,,,5.830079317092896e-07,0.0,wall clock,,N=20 exceeds brute-force limit 8
n20_static,20,static,cpsat,5,5,2.4485448717076927,best-known,2.4485448717076927,2.4485448717076927,0.0,0.0,0.0,0.0,0.0,10.99637487521395,0.20797711231734112,configured time limit unless proven_optimal,1.0,
n20_static,20,static,exact,1,0,2.4485448717076927,best-known,,,,,,,,1.4579854905605316e-06,0.0,wall clock,,N=20 exceeds held-karp limit 18
n20_static,20,static,greedy,1,1,2.4485448717076927,best-known,2.448544871707693,2.448544871707693,0.0,1.813686222300434e-14,1.813686222300434e-14,0.0,1.813686222300434e-14,0.00045941700227558613,0.0,wall clock,,
n20_static,20,static,local-search,5,5,2.4485448717076927,best-known,2.4485448717076927,2.4485448717076927,0.0,0.0,0.0,0.0,0.0,0.9891130581847392,0.025310081013409823,wall clock,,
n20_static,20,static,ortools,5,5,2.4485448717076927,best-known,2.4485448717076927,2.4485448717076927,0.0,0.0,0.0,0.0,0.0,5.000887141621206,0.00010599935120298314,"configured time limit, not a measurement",1.0,
n20_static,20,static,qaoa,5,0,2.4485448717076927,best-known,,,,,,,,3.899808507412672e-06,1.7189088159613892e-06,classical statevector simulation time,,"N=20 needs 400 qubits, over the qaoa limit of 4 (=16 qubits, 1 MiB statevector)"
n20_static,20,static,sa-perm,5,5,2.4485448717076927,best-known,2.6616598537839744,2.7443464813302287,0.061001603698057766,8.703740108615959,12.080710181808286,2.491341057413962,15.042439523019684,41.04039696657564,0.20076831230287745,wall clock,1.0,
n20_static,20,static,sa-qubo,5,5,2.4485448717076927,best-known,5.095437177882723,5.412193133272755,0.2202512572913948,108.10062485516158,121.03712273396566,8.995189748668345,129.87775933080718,2.433324392011855,0.04406959246961582,wall clock,1.0,
n20_td30d,20,td,brute,1,0,3.6722948765544605,best-known,,,,,,,,5.41971530765295e-07,0.0,wall clock,,N=20 exceeds brute-force limit 8
n20_td30d,20,td,cpsat,5,5,3.6722948765544605,best-known,3.6722948765544605,3.672294876554461,4.440892098500626e-16,0.0,0.0,0.0,0.0,10.709258758602664,0.3298443958409464,configured time limit unless proven_optimal,1.0,
n20_td30d,20,td,exact,1,0,3.6722948765544605,best-known,,,,,,,,1.334003172814846e-06,0.0,wall clock,,N=20 exceeds held-karp limit 18
n20_td30d,20,td,greedy,1,1,3.6722948765544605,best-known,3.6722948765544605,3.6722948765544605,0.0,0.0,0.0,0.0,0.0,0.0005107499891892076,0.0,wall clock,,
n20_td30d,20,td,local-search,5,5,3.6722948765544605,best-known,3.6722948765544605,3.672294876554461,4.440892098500626e-16,0.0,0.0,0.0,0.0,1.637043308385182,0.03173726460319515,wall clock,,
n20_td30d,20,td,ortools,5,0,3.6722948765544605,best-known,,,,,,,,5.248002707958221e-07,1.6781043117959898e-07,"configured time limit, not a measurement",,"instance has time-slotted costs C[t,i,j]; a routing arc-cost callback sees only (from, to) and cannot express position-dependent legs"
n20_td30d,20,td,qaoa,5,0,3.6722948765544605,best-known,,,,,,,,4.5747961848974225e-06,1.4738515893755776e-06,classical statevector simulation time,,"N=20 needs 400 qubits, over the qaoa limit of 4 (=16 qubits, 1 MiB statevector)"
n20_td30d,20,td,sa-perm,5,5,3.6722948765544605,best-known,4.075604949293745,4.33572073593465,0.24436116345601588,10.982507840375042,18.065702283762423,6.654181422524771,29.268797142577736,41.528936858417,0.34316586666644433,wall clock,1.0,
n20_td30d,20,td,sa-qubo,5,5,3.6722948765544605,best-known,7.195953666466245,7.644703439681495,0.35522595162538934,95.95250132031515,108.17237440513372,9.673132566050391,120.79996850039925,2.3495855333982036,0.0345342287297542,wall clock,1.0,
