instance,n,num_variables,seed,penalty_factor,penalty,path_upper_bound_kms,provably_sufficient,feasibility_rate,best_raw_dv_kms,best_repaired_dv_kms,mean_feasible_dv_kms,reference_dv_kms,gap_pct,reason
n8_td30d,8,64,1,4.0,4.688150285596902,1.1720375713992255,True,1.0,1.1720375713992255,1.1720375713992255,3.1436575837595964,1.1123581267408957,5.365128659884464,
n8_td30d,8,64,1,8.0,9.376300571193804,1.1720375713992255,True,1.0,1.5898799396840484,1.5898799396840484,3.332193705426061,1.1123581267408957,42.92878358719295,
n8_td30d,8,64,2,0.5,0.5860187856996127,1.1720375713992255,False,0.756,1.1123581267408957,1.1123581267408957,1.5820345848216848,1.1123581267408957,0.0,
n8_td30d,8,64,2,1.0,1.1720375713992255,1.1720375713992255,False,1.0,1.1123581267408957,1.1123581267408957,2.244198519399563,1.1123581267408957,0.0,
n8_td30d,8,64,2,1.05,1.2306394499691868,1.1720375713992255,True,1.0,1.1123581267408957,1.1123581267408957,2.3369909281261734,1.1123581267408957,0.0,
n8_td30d,8,64,2,1.1,1.2892413285391482,1.1720375713992255,True,1.0,1.1123581267408957,1.1123581267408957,2.3267228807854416,1.1123581267408957,0.0,
n8_td30d,8,64,2,1.5,1.7580563570988383,1.1720375713992255,True,1.0,1.1123581267408957,1.1123581267408957,2.568054217299409,1.1123581267408957,0.0,
n8_td30d,8,64,2,2.0,2.344075142798451,1.1720375713992255,True,1.0,1.1123581267408957,1.1123581267408957,2.8130140980565703,1.1123581267408957,0.0,
n8_td30d,8,64,2,4.0,4.688150285596902,1.1720375713992255,True,1.0,1.3081523111190827,1.3081523111190827,3.1392717577811564,1.1123581267408957,17.60172193391039,
n8_td30d,8,64,2,8.0,9.376300571193804,1.1720375713992255,True,1.0,1.4187415280507514,1.4187415280507514,3.3422928249985153,1.1123581267408957,27.5435935553894,
n8_td30d,8,64,3,0.5,0.5860187856996127,1.1720375713992255,False,0.728,1.1123581267408957,1.1123581267408957,1.616334081839307,1.1123581267408957,0.0,
n8_td30d,8,64,3,1.0,1.1720375713992255,1.1720375713992255,False,1.0,1.1123581267408957,1.1123581267408957,2.228342960692963,1.1123581267408957,0.0,
n8_td30d,8,64,3,1.05,1.2306394499691868,1.1720375713992255,True,1.0,1.1123581267408957,1.1123581267408957,2.258477102067459,1.1123581267408957,0.0,
n8_td30d,8,64,3,1.1,1.2892413285391482,1.1720375713992255,True,1.0,1.1123581267408957,1.1123581267408957,2.302041224183898,1.1123581267408957,0.0,
n8_td30d,8,64,3,1.5,1.7580563570988383,1.1720375713992255,True,1.0,1.1720375713992255,1.1720375713992255,2.6222482591263905,1.1123581267408957,5.365128659884464,
n8_td30d,8,64,3,2.0,2.344075142798451,1.1720375713992255,True,1.0,1.2222807328428722,1.2222807328428722,2.847306613227819,1.1123581267408957,9.881943904526443,
n8_td30d,8,64,3,4.0,4.688150285596902,1.1720375713992255,True,1.0,1.3703352671442777,1.3703352671442777,3.215881555284895,1.1123581267408957,23.191914024958006,
n8_td30d,8,64,3,8.0,9.376300571193804,1.1720375713992255,True,1.0,1.8252193884464805,1.8252193884464805,3.332434083371325,1.1123581267408957,64.085589395045,
n8_td30d,8,64,4,0.5,0.5860187856996127,1.1720375713992255,False,0.748,1.1123581267408957,1.1123581267408957,1.6204856770510105,1.1123581267408957,0.0,
n8_td30d,8,64,4,1.0,1.1720375713992255,1.1720375713992255,False,0.998,1.1720375713992255,1.1720375713992255,2.2459300294186058,1.1123581267408957,5.365128659884464,
n8_td30d,8,64,4,1.05,1.2306394499691868,1.1720375713992255,True,1.0,1.1123581267408957,1.1123581267408957,2.2897673626635195,1.1123581267408957,0.0,
n8_td30d,8,64,4,1.1,1.2892413285391482,1.1720375713992255,True,1.0,1.1720375713992255,1.1720375713992255,2.3223303354426945,1.1123581267408957,5.365128659884464,
n8_td30d,8,64,4,1.5,1.7580563570988383,1.1720375713992255,True,1.0,1.1764619824559344,1.1764619824559344,2.597787237910236,1.1123581267408957,5.7628792539015175,
n8_td30d,8,64,4,2.0,2.344075142798451,1.1720375713992255,True,1.0,1.3108391177611973,1.3108391177611973,2.821891760586644,1.1123581267408957,17.843263446263673,
n8_td30d,8,64,4,4.0,4.688150285596902,1.1720375713992255,True,1.0,1.246589123199521,1.246589123199521,3.1979895001009044,1.1123581267408957,12.067246440848091,
n8_td30d,8,64,4,8.0,9.376300571193804,1.1720375713992255,True,1.0,1.6704981039077833,1.6704981039077833,3.367139555876767,1.1123581267408957,50.17628439522306,
n8_td30d,8,64,5,0.5,0.5860187856996127,1.1720375713992255,False,0.75,1.1123581267408957,1.1123581267408957,1.6162052220144918,1.1123581267408957,0.0,
n8_td30d,8,64,5,1.0,1.1720375713992255,1.1720375713992255,False,0.996,1.1720375713992255,1.1720375713992255,2.2716560236829384,1.1123581267408957,5.365128659884464,
n8_td30d,8,64,5,1.05,1.2306394499691868,1.1720375713992255,True,1.0,1.1123581267408957,1.1123581267408957,2.305986483530009,1.1123581267408957,0.0,
n8_td30d,8,64,5,1.1,1.2892413285391482,1.1720375713992255,True,1.0,1.1764619824559344,1.1764619824559344,2.3311206279550993,1.1123581267408957,5.7628792539015175,
n8_td30d,8,64,5,1.5,1.7580563570988383,1.1720375713992255,True,1.0,1.1123581267408957,1.1123581267408957,2.5724656090937814,1.1123581267408957,0.0,
